CMDLINE /home/akozameh/miniconda3/envs/CMB/bin/python main.py
MEM 0.015625 1715007561.8875
MEM 3.894531 1715007561.9879
MEM 5.441406 1715007562.0882
MEM 6.214844 1715007562.1886
MEM 7.976562 1715007562.2890
MEM 10.738281 1715007562.3892
MEM 11.812500 1715007562.4895
MEM 12.585938 1715007562.5899
MEM 13.925781 1715007562.6902
MEM 14.707031 1715007562.7906
MEM 15.382812 1715007562.8909
MEM 15.898438 1715007562.9913
MEM 16.128906 1715007563.0916
MEM 17.132812 1715007563.1919
MEM 18.164062 1715007563.2922
MEM 18.507812 1715007563.3925
MEM 19.058594 1715007563.4927
MEM 19.316406 1715007563.5930
MEM 19.843750 1715007563.6932
MEM 20.093750 1715007563.7935
MEM 20.601562 1715007563.8938
MEM 21.363281 1715007563.9941
MEM 21.621094 1715007564.0943
MEM 22.652344 1715007564.1947
MEM 23.167969 1715007564.2950
MEM 23.886719 1715007564.3954
MEM 24.402344 1715007564.4958
MEM 24.660156 1715007564.5961
MEM 24.917969 1715007564.6964
MEM 26.464844 1715007564.7967
MEM 26.980469 1715007564.8969
MEM 27.238281 1715007564.9972
MEM 27.496094 1715007565.0974
MEM 28.011719 1715007565.1978
MEM 28.527344 1715007565.2982
MEM 28.785156 1715007565.3985
MEM 29.671875 1715007565.4989
MEM 29.929688 1715007565.5992
MEM 30.703125 1715007565.6995
MEM 31.218750 1715007565.7998
MEM 31.476562 1715007565.9000
MEM 32.250000 1715007566.0002
MEM 32.765625 1715007566.1006
MEM 33.796875 1715007566.2009
MEM 34.054688 1715007566.3012
MEM 34.570312 1715007566.4015
MEM 35.343750 1715007566.5018
MEM 35.585938 1715007566.6021
MEM 35.835938 1715007566.7024
MEM 36.351562 1715007566.8028
